gender,index_type,age_months,sd_n3,sd_n2,sd_n1,median,sd_p1,sd_p2,sd_p3
P,PB_U,4,55.6,57.8,59.9,62.1,64.3,66.4,68.6 
P,PB_U,5,57.4,59.6,61.8,64.0,66.2,68.5,70.7 
P,PB_U,6,58.9,61.2,63.5,65.7,68.0,70.3,72.5 
P,PB_U,7,60.3,62.7,65.0,67.3,69.6,71.9,74.2 
P,PB_U,8,61.7,64.0,66.4,68.7,71.1,73.5,75.8 
P,PB_U,9,62.9,65.3,67.7,70.1,72.6,75.0,77.4 
P,PB_U,10,64.1,66.5,69.0,71.5,73.9,76.4,78.9 
P,PB_U,11,65.2,67.7,70.3,72.8,75.3,77.8,80.3 
P,PB_U,12,66.3,68.9,71.4,74.0,76.6,79.2,81.7 
P,PB_U,13,67.3,70.0,72.6,75.2,77.8,80.5,83.1 
P,PB_U,14,68.3,71.0,73.7,76.4,79.1,81.7,84.4 
P,PB_U,15,69.3,72.0,74.8,77.5,80.2,83.0,85.7 
P,PB_U,16,70.2,73.0,75.8,78.6,81.4,84.2,87.0 
P,PB_U,17,71.1,74.0,76.8,79.7,82.5,85.4,88.2 
P,PB_U,18,72.0,74.9,77.8,80.7,83.6,86.5,89.4
P,PB_U,19,72.8,75.8,78.8,81.7,84.7,87.6,90.6 
P,PB_U,20,73.7,76.7,79.7,82.7,85.7,88.7,91.7 
P,PB_U,21,74.5,77.5,80.6,83.7,86.7,89.8,92.9 
P,PB_U,22,75.2,78.4,81.5,84.6,87.7,90.8,94.0 
P,PB_U,23,76.0,79.2,82.3,85.5,88.7,91.9,95.0 
P,PB_U,24,76.7,80.0,83.2,86.4,89.6,92.9,96.1

P,TB_U,24,76.0,79.3,82.5,85.7,88.9,92.2,95.4 
P,TB_U,25,76.8,80.0,83.3,86.6,89.9,93.1,96.4 
P,TB_U,26,77.5,80.8,84.1,87.4,90.8,94.1,97.4 
P,TB_U,27,78.1,81.5,84.9,88.3,91.7,95.0,98.4 
P,TB_U,28,78.8,82.2,85.7,89.1,92.5,96.0,99.4 
P,TB_U,29,79.5,82.9,86.4,89.9,93.4,96.9,100.3 
P,TB_U,30,80.1,83.6,87.1,90.7,94.2,97.7,101.3 
P,TB_U,31,80.7,84.3,87.9,91.4,95.0,98.6,102.2 
P,TB_U,32,81.3,84.9,88.6,92.2,95.8,99.4,103.1 
P,TB_U,33,81.9,85.6,89.3,92.9,96.6,100.3,103.9 
P,TB_U,34,82.5,86.2,89.9,93.6,97.4,101.1,104.8 
P,TB_U,35,83.1,86.8,90.6,94.4,98.1,101.9,105.6 
P,TB_U,36,83.6,87.4,91.2,95.1,98.9,102.7,106.5 
P,TB_U,37,84.2,88.0,91.9,95.7,99.6,103.4,107.3 
P,TB_U,38,84.7,88.6,92.5,96.4,100.3,104.2,108.1 
P,TB_U,39,85.3,89.2,93.1,97.1,101.0,105.0,108.9 
P,TB_U,40,85.8,89.8,93.8,97.7,101.7,105.7,109.7 
P,TB_U,41,86.3,90.4,94.4,98.4,102.4,106.4,110.5 
P,TB_U,42,86.8,90.9,95.0,99.0,103.1,107.2,111.2 
P,TB_U,43,87.4,91.5,95.6,99.7,103.8,107.9,112.0
P,TB_U,44,87.9,92.0,96.2,100.3,104.5,108.6,112.7 
P,TB_U,45,88.4,92.5,96.7,100.9,105.1,109.3,113.5 
P,TB_U,46,88.9,93.1,97.3,101.5,105.8,110.0,114.2 
P,TB_U,47,89.3,93.6,97.9,102.1,106.4,110.7,114.9 
P,TB_U,48,89.8,94.1,98.4,102.7,107.0,111.3,115.7 
P,TB_U,49,90.3,94.6,99.0,103.3,107.7,112.0,116.4 
P,TB_U,50,90.7,95.1,99.5,103.9,108.3,112.7,117.1 
P,TB_U,51,91.2,95.6,100.1,104.5,108.9,113.3,117.7 
P,TB_U,52,91.7,96.1,100.6,105.0,109.5,114.0,118.4 
P,TB_U,53,92.1,96.6,101.1,105.6,110.1,114.6,119.1 
P,TB_U,54,92.6,97.1,101.6,106.2,110.7,115.2,119.8 
P,TB_U,55,93.0,97.6,102.2,106.7,111.3,115.9,120.4 
P,TB_U,56,93.4,98.1,102.7,107.3,111.9,116.5,121.1 
P,TB_U,57,93.9,98.5,103.2,107.8,112.5,117.1,121.8 
P,TB_U,58,94.3,99.0,103.7,108.4,113.0,117.7,122.4 
P,TB_U,59,94.7,99.5,104.2,108.9,113.6,118.3,123.1 
P,TB_U,60,95.2,99.9,104.7,109.4,114.2,118.9,123.7

P,IMT_U,0,10.1,11.1,12.2,13.3,14.6,16.1,17.7 
P,IMT_U,1,10.8,12.0,13.2,14.6,16.0,17.5,19.1 
P,IMT_U,2,11.8,13.0,14.3,15.8,17.3,19.0,20.7 
P,IMT_U,3,12.4,13.6,14.9,16.4,17.9,19.7,21.5 
P,IMT_U,4,12.7,13.9,15.2,16.7,18.3,20.0,22.0 
P,IMT_U,5,12.9,14.1,15.4,16.8,18.4,20.2,22.2 
P,IMT_U,6,13.0,14.1,15.5,16.9,18.5,20.3,22.3 
P,IMT_U,7,13.0,14.2,15.5,16.9,18.5,20.3,22.3 
P,IMT_U,8,13.0,14.1,15.4,16.8,18.4,20.2,22.2 
P,IMT_U,9,12.9,14.1,15.3,16.7,18.3,20.1,22.1 
P,IMT_U,10,12.9,14.0,15.2,16.6,18.2,19.9,21.9 
P,IMT_U,11,12.8,13.9,15.1,16.5,18.0,19.8,21.8 
P,IMT_U,12,12.7,13.8,15.0,16.4,17.9,19.6,21.6 
P,IMT_U,13,12.6,13.7,14.9,16.2,17.7,19.5,21.4 
P,IMT_U,14,12.6,13.6,14.8,16.1,17.6,19.3,21.3 
P,IMT_U,15,12.5,13.5,14.7,16.0,17.5,19.2,21.1 
P,IMT_U,16,12.4,13.5,14.6,15.9,17.4,19.1,21.0 
P,IMT_U,17,12.4,13.4,14.5,15.8,17.3,18.9,20.9 
P,IMT_U,18,12.3,13.3,14.4,15.7,17.2,18.8,20.8 
P,IMT_U,19,12.3,13.3,14.4,15.7,17.1,18.8,20.7 
P,IMT_U,20,12.2,13.2,14.3,15.6,17.0,18.7,20.6 
P,IMT_U,21,12.2,13.2,14.3,15.5,17.0,18.6,20.5 
P,IMT_U,22,12.2,13.1,14.2,15.5,16.9,18.5,20.4 
P,IMT_U,23,12.2,13.1,14.2,15.4,16.9,18.5,20.4 
P,IMT_U,24,12.1,13.1,14.2,15.4,16.8,18.4,20.3 
P,IMT_U,25,12.4,13.3,14.4,15.7,17.1,18.7,20.6 
P,IMT_U,26,12.3,13.3,14.4,15.6,17.0,18.7,20.6 
P,IMT_U,27,12.3,13.3,14.4,15.6,17.0,18.6,20.5 
P,IMT_U,28,12.3,13.3,14.3,15.6,17.0,18.6,20.5 
P,IMT_U,29,12.3,13.2,14.3,15.6,17.0,18.6,20.4 
P,IMT_U,30,12.3,13.2,14.3,15.5,16.9,18.5,20.4 
P,IMT_U,31,12.2,13.2,14.3,15.5,16.9,18.5,20.4 
P,IMT_U,32,12.2,13.2,14.3,15.5,16.9,18.5,20.4 
P,IMT_U,33,12.2,13.1,14.2,15.5,16.9,18.5,20.3 
P,IMT_U,34,12.2,13.1,14.2,15.4,16.8,18.5,20.3 
P,IMT_U,35,12.1,13.1,14.2,15.4,16.8,18.4,20.3 
P,IMT_U,36,12.1,13.1,14.2,15.4,16.8,18.4,20.3 
P,IMT_U,37,12.1,13.1,14.1,15.4,16.8,18.4,20.3 
P,IMT_U,38,12.1,13.0,14.1,15.4,16.8,18.4,20.3 
P,IMT_U,39,12.0,13.0,14.1,15.3,16.8,18.4,20.3 
P,IMT_U,40,12.0,13.0,14.1,15.3,16.8,18.4,20.3 
P,IMT_U,41,12.0,13.0,14.1,15.3,16.8,18.4,20.4 
P,IMT_U,42,12.0,12.9,14.0,15.3,16.8,18.4,20.4 
P,IMT_U,43,11.9,12.9,14.0,15.3,16.8,18.4,20.4
P,IMT_U,44,11.9,12.9,14.0,15.3,16.8,18.5,20.4 
P,IMT_U,45,11.9,12.9,14.0,15.3,16.8,18.5,20.5 
P,IMT_U,46,11.9,12.9,14.0,15.3,16.8,18.5,20.5 
P,IMT_U,47,11.8,12.8,14.0,15.3,16.8,18.5,20.5 
P,IMT_U,48,11.8,12.8,14.0,15.3,16.8,18.5,20.6 
P,IMT_U,49,11.8,12.8,13.9,15.3,16.8,18.5,20.6 
P,IMT_U,50,11.8,12.8,13.9,15.3,16.8,18.6,20.7 
P,IMT_U,51,11.8,12.8,13.9,15.3,16.8,18.6,20.7 
P,IMT_U,52,11.7,12.8,13.9,15.2,16.8,18.6,20.7 
